"Total paid at Mercadolivre (by MercadoPago)","Total pago no Mercadolivre"
"Total Due","Total devido"
"Choose your payment Method","Escolha a forma de Pagamento"
"Pay your Order","Pagar"
"Continue","Continuar"
"To autorize this application at Mercadolivre click on the link below:","Para autorizar essa aplicação no Mercadolivre, clique no link abaixo"
"Authorize this application at MercadoLivre","Autorizar essa aplicação no Mercadolivre"
"Domain Invalid","Domínio inválido"
"Sorry, the domain that you are using does not have license to use Thirdlevel MercadoLivre module","Desculpe, ocorreu um erro com a licença do Módulo Thirdlevel Magento Mercadolivre, ou ela não é valida para seu domínio atual"
"Click here to get more information and buy the module","Clique aqui para saber mais sobre esse módulo"
"Your module is now authorized with Mercadolivre","Autenticação no Mercadolivre realizada com sucesso"
"Mercadolivre Account Configuration","Configuração da conta do Mercadolivre"
"Module License Key","Chave de licença do módulo"
"Mercadolivre Account Country","País da conta"
"Create and get your at http://applications.mercadolibre.com/","Crie ou recupere essa informação em http://applications.mercadolibre.com/"
"Mercadolivre Currency","Moeda"
"Mercadolivre Redirect Url","Endereço de redirecionamento para autenticação"
"Magento Configuration","Configurações da Loja"
"Email to receive log in case of error","Email para receber informações de erro"
"Default Configuration","Configurações Padrões"
"Ads Template","Template Padrão"
"Free Shipping","Frete Gratuito"
"Ad Type",Tipo de anúncio no Mercadolivre"
"Use Store Stock Quantity","Usar estoque do produto quando importar anúncios do Mercadolivre"
"Product Configuration","Configuração dos Produtos"
"Store without Stock Management","Loja sem controle de estoque (estoque ilimitado)"
"Auto decrement Store Stock","Decrementar estoque da loja quando produto for vendido no Mercadolivre"
"Auto Update MercadoLivre Item Quantity based on Store Stock","Atualizar automáticamente a quantidade disponíveis nos anúncios do Mercadolivre, quando produto for vendido na loja"
"Shipping Configuration","Configuração de entrega"
"Shipping Method","Forma de entrega"
"Payment Configuration","Configuração de pagamento"
"Send Emails to Customers","Enviar email aos cliente para conclusão de compra?"
"Receive BBc copy of clients emails","Receber cópia dos emails enviados no email"
"Auto Qualify Buyers on Approved and Paid Orders with Positive","Auto qualificar positivamente compradores quando pagamento for aprovado?"
"FeedBack Message At Approved and Paid Orders","Mensagem da auto qualificação"
"Auto Create Invoice","Gerar faturas automáticamente"
"Choose the status of new orders","Status para novo pedido"
"Choose the status of approved orders","Status para pedido aprovado"
"Choose the status of refunded orders","Status para pedido devolvido"
"Choose the status when payment is pending","Status para pedido pendente"
"Choose the status when client open a mediation","Status para pedido em mediação"
"Choose the status when payment was reject","Status para pedido rejeitado"
"Choose the status when payment was canceled","Status para pedido cancelado"
"Ads Manager","Gerenciar anúncios"
"Answer Question","Responder Perguntas"
"Manage Templates","Gerenciar Templates"
"Manage Sales","Gerenciar Vendas"
"General Information","Informações Gerais"
"Pause Ad","Pausar Anúncio"
"Close Ad","Encerrar Anúncio"
"Active Ad","Ativar Anúncio"
"Create Ad","Criar Anúncio"
"Relist Ad","Recadastrar Anúncio"
"Warranty","Informações de Garantia"
"Local Pickup","Permitir retirada na loja"
"Auto Relist (beta)","Recadastramento Automático (beta)"
"Item Type","Tipo do Anúncio"
"Category","Categoria"
"Generais","Gerais"
"Product Id","ID do Produto"
"active","Ativo"
"paused","Pausado"
"closed","Encerrado"
"pending","Pendente"
"not_yet_active","Ativando"
"inactive","Inativo"
"payment_required","Pagamento Necessário"
"Edit Ad  '%s'","Editar anúncio %s"
"Success Operation","Operação realizada com sucesso"
"Attributes","Atributos"
"Selecte a relative Attribute from your stores","Atrele o atributo do Mercadolivre com os da sua Loja"
"Import from Mercadolivre","Importar do Mercadolivre"
